,0001_cyclone_1.5,0002_eTax,0003_excel_07pro,0004_ppt_07pro,0005_windows_10,0006_word_07pro,0007_wpsExcel_2019,0008_wpsPpt_2019,0009_wpsWord_2019,0010_wps_2019,0011_xingzhida_00,0012_feishu_v3.42.8,0013_DingDing_v4.6.28,0014_jindie_00,0015_sap_740,0016_yongyou_U8,0017_weixin_person_3.2.1,0018_WPS_office_Excel_dianwang,0019_outlook,0020_chrome,0021_IE10,0022_Edge,0023_360,0024_Firefox,0025_Lotus_note,0026_tonghuashun,0027_JYS_F_XJM,statistic
detect_icon_correct,6818.0,1932.0,4989.0,4966.0,3937.0,6840.0,8009.0,6249.0,5979.0,2931.0,38625.0,10897.0,14305.0,11261.0,13442.0,12950.0,6208.0,43807.0,15358.0,13106.0,4782.0,7323.0,5686.0,5888.0,5996.0,10958.0,68751.0,341993.0
detect_text_correct,6146.0,7988.0,34087.0,4295.0,7150.0,14074.0,29569.0,4597.0,17961.0,6033.0,99694.0,14352.0,19646.0,20427.0,14075.0,18998.0,7837.0,48125.0,17452.0,15271.0,11456.0,9069.0,4626.0,8991.0,7036.0,59456.0,126537.0,634948.0
detect_button_correct,12964.0,9920.0,39076.0,9261.0,11087.0,20914.0,37578.0,10846.0,23940.0,8964.0,138319.0,25249.0,33951.0,31688.0,27517.0,31948.0,14045.0,91932.0,32810.0,28377.0,16238.0,16392.0,10312.0,14879.0,13032.0,70414.0,195288.0,976941.0
gold_text_number,6175.0,8407.0,35343.0,4342.0,7201.0,14700.0,33105.0,4685.0,18715.0,6056.0,103987.0,14653.0,20371.0,20791.0,14560.0,19293.0,8272.0,49688.0,18002.0,15752.0,11890.0,9247.0,4704.0,9214.0,7574.0,64344.0,126771.0,657842.0
gold_icon_number,7108.0,1977.0,5473.0,5139.0,4099.0,7070.0,8500.0,6592.0,6502.0,2981.0,38842.0,11007.0,14523.0,11450.0,14048.0,13019.0,6453.0,45428.0,15840.0,13218.0,4938.0,7408.0,5731.0,6076.0,6211.0,11597.0,68993.0,350223.0
gold_button_number,13283.0,10384.0,40816.0,9481.0,11300.0,21770.0,41605.0,11277.0,25217.0,9037.0,142829.0,25660.0,34894.0,32241.0,28608.0,32312.0,14725.0,95116.0,33842.0,28970.0,16828.0,16655.0,10435.0,15290.0,13785.0,75941.0,195764.0,1008065.0
predict_button_number,13235.0,10844.0,41479.0,9943.0,11512.0,24334.0,41405.0,11529.0,28678.0,9184.0,145091.0,26119.0,35662.0,33158.0,29277.0,32851.0,14465.0,96610.0,33893.0,29557.0,17134.0,16869.0,10509.0,15483.0,13250.0,74196.0,196209.0,1022476.0
detect_icon_recall,0.959200886899256,0.9772381903268492,0.9115658521548354,0.9663358442044008,0.9604781419741854,0.9674681617048351,0.9422352830325261,0.947967218629138,0.9195631971768194,0.9832270720151938,0.9944132614324359,0.9900063505950182,0.9849893204917075,0.9834934411921971,0.9568621799767784,0.9947000461271984,0.9620331479616744,0.9643171590994164,0.96957070094968,0.9915266985056235,0.9684082428430895,0.9885259045825336,0.9921479498840001,0.9690585752294507,0.9653839805927551,0.944899534837462,0.9964923963351464,0.9765006867025395
detect_text_recall,0.995303627606419,0.9501605691666402,0.9644625499689825,0.9891754723819559,0.9929176365377359,0.9574149594733676,0.8931883374318432,0.9812166279356109,0.9597114562665697,0.9962020971565043,0.9587159924233645,0.9794581247563084,0.964410186223503,0.982492419881235,0.9666895538002092,0.9847094750183513,0.9474129479277933,0.9685437108184196,0.9694478337437626,0.9694641888683077,0.9634987303322227,0.9807505030739646,0.9834183464409365,0.9757976885630814,0.9289675081995311,0.9240333194640785,0.9981541511874528,0.9651983302966894
detect_button_recall,0.9759843335392281,0.9553158613702248,0.9573696566116973,0.9767956863538058,0.981150433795129,0.9606798302219576,0.9032087467775298,0.9617806068832083,0.94935955526288,0.9919220870651535,0.9684237788065282,0.9839828488543146,0.972975293824224,0.9828479235047054,0.9618638109554536,0.9887348322953242,0.9538200274783021,0.96652508414302,0.9695053455188661,0.979530545462442,0.9649393810022617,0.9842089403529933,0.9882127360976259,0.9731196797049073,0.94537540119423,0.9272198141620207,0.9975685003383826,0.9691250068190354
detect_button_precision,0.9795239820209749,0.914791581383331,0.9420670678124664,0.931409022111948,0.9630819930239577,0.8594559017857487,0.907571547137854,0.9407580801391441,0.8347862443866858,0.9760452855395767,0.9533258431237459,0.9666909109587238,0.9520217571868607,0.9556668045248001,0.9398845478024233,0.9725122493302724,0.9709643901074014,0.9515785105562793,0.9680464964209528,0.9600771358389649,0.9477063093982355,0.9717232736278186,0.9812541537610225,0.9609894661177455,0.9835471623883234,0.9490269004406883,0.9953060252102064,0.9554659473660453
classification_icon_correct,6807.0,1878.0,4831.0,4869.0,3901.0,6738.0,7933.0,6191.0,5933.0,2923.0,38258.0,10863.0,14226.0,11177.0,13229.0,12901.0,6102.0,42637.0,15046.0,13009.0,4650.0,7207.0,5541.0,5793.0,5894.0,10576.0,68745.0,337858.0
classification_text_correct,6133.0,7963.0,34029.0,4275.0,7146.0,13807.0,29521.0,4569.0,17919.0,5994.0,99575.0,14265.0,19571.0,20384.0,14003.0,18936.0,7776.0,47596.0,17364.0,15190.0,11417.0,8973.0,4611.0,8955.0,6834.0,59310.0,126513.0,632629.0
classification_button_correct,12940.0,9841.0,38860.0,9144.0,11047.0,20545.0,37454.0,10760.0,23852.0,8917.0,137833.0,25128.0,33797.0,31561.0,27232.0,31837.0,13878.0,90233.0,32410.0,28199.0,16067.0,16180.0,10152.0,14748.0,12728.0,69886.0,195258.0,970487.0
predict_icon_number,6984.0,1998.0,5529.0,5232.0,4085.0,7574.0,8797.0,6673.0,6544.0,3039.0,39298.0,11271.0,14892.0,11825.0,13955.0,13301.0,6307.0,46029.0,15893.0,13406.0,5021.0,7478.0,5644.0,6000.0,6133.0,11081.0,69132.0,353121.0
